,IF甜甜,:热闹时极端开心，回归个人空间负面情绪犹如海啸袭来 ,0,0,0,1567180740000
6272218655,Dragonpool,喜欢一个人要对他说你很可爱，鹅盒盒盒盒盒盒～学到了吗姐妹们 乍都乍肉菜饭的微博视频 ,1,0,0,1567180620000
,后来要去蒙得维的亚,:今天看到海啸实验室发《苦月亮》我才真正意识到 原来很多小众的cult片或者情迷意乱纸醉金迷的R级片 我已经在好多年前资源比较好找 也没有那么严格“净网”的时候看了 真的很庆幸 虽然看的时候我还小 但是这些小众的地下电影所带来的惊艳感 远超现在很多电影 像我一直很喜欢的西班牙导演阿莫多瓦的电影 西班牙热情大胆的电影风格实实在在影响了我的审美 像我特别喜欢的《发条橙》像《不可撤销》《巴黎最后的探戈》《我的夜晚比你的白天更美》《钢琴课》……这些电影带给我很多夜晚里的色彩和迷醉 是年少时的珍宝🌠,3,0,0,1567180620000
3226932143,周遍闻身,:#霹雳布袋戏[超话]#看了姤卦的解释以后头一个想到的是天扇子用海啸教化蛮族那段 ,1,0,0,1567180620000
6189915269,恶霸鲨鱼辣椒,:#不做你共同好友-吴海啸/夏子皓[音乐]# ,0,0,0,1567180500000
,佳子程,“有人觉得雕塑应该永恒，而我的雕塑，只留一瞬。”70岁的巴西艺术家Nele Azevedo ,0,0,0,1567180440000
,很喜欢梁小姐,:那一刻你心里有一场海啸 可你静静站着 没让任何人知道 云浮 ,1,0,0,1567180140000
5059123395,czmryog-y,:平静平静 但我害怕又酝酿着一场海啸 ,0,0,0,1567180020000
7209656026,海外置业Ameliy,:律宾坐落于环太平洋火山地震带上，因地壳板块相互碰撞地震频发，火山活动也颇为活跃。1976年8月16日，一场7.9级地震突袭菲律宾南部莫罗湾并引发海啸，导致至少5000人死亡，成为该国历史上人员伤亡最严重的地震。菲律宾群岛地形多以山地为主，占总面积3/4以上;有200多座火山，其中活火山21座。除少数岛屿有较宽广的内陆平原外，大多数岛屿仅沿海有零星分布的狭窄平原。吕宋岛东南的马荣火山是最大的活火山;棉兰老岛东南部的阿波火山海拔2954米，为境内最高峰。各岛之间为浅海，多珊瑚礁。菲律宾群岛两侧为深海，萨马岛和棉兰老岛以东的菲律宾海沟，最深达10479米，是世界海洋最深的地区之一。 http://t.cn/R2Wxse4,1,0,0,1567179480000
1684629034,百纺成裟,:做了一个差劲儿的梦，梦里曾爱过的人指责我不够良善纯真，不如他的现任个性单纯可爱。变心就变心，说那么多理由何干。然而我还是吵回去，驳斥他一条条荒诞的证据。梦里气急，直接被食物卡住喉咙，说不出最关键的话。或许人就是这样，倘若怀疑倘若失望，就不见善意温柔，心生虚幻以假作真…而清者自清，如何自证？反正，也不信…梦里我的情绪如海啸蔓延，却终究没说出“你过的比我好，既然已找到归宿，来和我对质又有什么意义？现在谁是感情的背叛者，难道还不清楚吗？” 爱的时候，情不自禁；不爱的时候，也情不自禁。你是如此，我又何尝不是。哪有什么不忠不义，更不提错误归因幼稚可笑。快醒的时候，突然记起梦里吵架他说的一些往事。虽然我是说了假话，但那些假话的目的只是为了保护你。如今却被当作不诚实有心机的证据，被利用加以攻击…醒来，怅然地面墙躺着。希望这只是一个梦，希望他幸福，希望他永远不要想起我。2019也没几个月了，尘归尘土归土，唯愿你只记得曾经爱过，如果非要带上别的，那还是什么都不记得算了。你看，我并不是一个难以理解的人，只是不愿说太多凉薄的心事。活在世上，留给别人温暖好过从人身上搜刮温柔，不是吗,0,0,0,1567179300000
